date,location,match type,Result,Opponent,Venue,Day Average Temp
2019-01-22,"La Manga, Spain",Women's International Tournament,W,NOR,La Manga Stadium,10
2019-01-17,"Rota, Spain",Training match,D,SWI,n/a,10
2018-10-17,"Frisco, Texas, USA",FIFA Women's World Cup™ Qualifiers,L,USA,Toyota Stadium,12
2018-10-14,"Frisco, Texas, USA",FIFA Women's World Cup™ Qualifiers,W,PAN,Toyota Stadium,19
2018-10-11,"Ediburg, Texas, USA",FIFA Women's World Cup™ Qualifiers,W,CRC,H-E-B Park,24
2018-10-08,"Ediburg, Texas, USA",FIFA Women's World Cup™ Qualifiers,W,CUB,H-E-B Park,25
2018-10-05,"Ediburg, Texas, USA",FIFA Women's World Cup™ Qualifiers,W,JAM,H-E-B Park,27
2018-09-02,"Ottawa, Ontario, Canada",Women's International Friendly,W,BRA,TD Place,24
2018-06-10,"Hamilton, Ontario, Canada",Women's International Friendly,L,GER,Tim Hortons Field,17
2018-04-09,"Rennes, France",Women's International Friendly,L,FRA,Roazhan Park,12
2018-03-07,"Lagos, Portugal",Women's International Tournament,W,JPN,Estádio Municipal da Bela Vista,11
2018-03-05,"Lagos, Portugal",Women's International Tournament,W,KOR,Estádio Municipal de Lagos,14
2018-03-02,"São João da Venda, Portugal",Women's International Tournament,W,RUS,Estádio Algarve,14
2018-02-28,"Lagos, Parchal, Portugal",Women's International Tournament,L,SWE,Estádio Municipal da Bela Vista,15
2017-11-28,"Marbella, Spain",Women's International Friendly,W,NOR,Estadio Marbella,15
2017-11-12,"San Jose, United States",Women's International Friendly,L,USA,Avaya Stadium,15
2017-06-11,Toronto,Women's International Friendly,W,CRC,BMO Field,19
2017-06-08,Winnipeg,Women's International Friendly,W,CRC,Investors Group Field,19
2017-04-09,"Erfurt, Germany",Women's International Friendly,L,GER,Steigerwaldstadion,10
2017-04-06,"Trelleborg, Sweden",Women's International Friendly,W,SWE,Vångavallen,6
2017-03-08,"São João da Venda, Portugal",Algarve Women's Cup,L,ESP,Estádio Algarve,18
2017-03-06,"São João da Venda, Portugal",Algarve Women's Cup,D,POR,Estádio Algarve,16
2017-03-03,"São João da Venda, Portugal",Algarve Women's Cup,W,RUS,Estádio Algarve,12
2017-03-01,"Lagos, Portugal",Algarve Women's Cup,W,DEN,Estádio Municipal de Lagos,12
2016-08-19,"São Paulo, BRA",Women's Olympic Football Tournament,W,BRA,Arena Corinthians,22
2016-08-16,"Belo Horizonte, BRA",Women's Olympic Football Tournament,L,GER,Estádio Mineirão,20
2016-08-12,"São Paulo, BRA",Women's Olympic Football Tournament,W,FRA,Arena Corinthians,22
2016-08-09,"Brasilia, BRA",Women's Olympic Football Tournament,W,GER,Estadio Nacional Mané Garrincha,22
2016-08-06,"São Paulo, BRA",Women's Olympic Football Tournament,W,ZIM,Arena Corinthians,22
2016-08-03,"São Paulo, BRA",Women's Olympic Football Tournament,W,AUS,Arena Corinthians,22
2016-07-23,"Auxerre, FRA",Women's International Frienldy,L,FRA,Stade de l’Abbé-Deschamps,20
2016-07-20,"Paris, FRA",Women's International Friendly,W,CHN,Stade Sébastien-Charléty,24
2016-06-07,"Ottawa, ON, CAN",Women's International Friendly,W,BRA,TD Place,17
2016-06-04,"Toronto, ON, CAN",Women's International Friendly,L,BRA,BMO Field,19
2016-04-10,"Eindhoven, NED",Women's International Friendly,W,NED,Jan Louwers Stadion,10
2016-03-09,"Lagos, POR",Algarve Cup,W,BRA,Estádio Municipal da Bela Vista,13
2016-03-07,"Lagos, POR",Algarve Cup,W,ISL,Estádio Municipal de Lagos,12
2016-03-04,"Vila Real Santo Antonio, POR",Algarve Cup,W,BEL,Complexo Desportivo,13
2016-03-02,"Albufeira, POR",Algarve Cup,L,DEN,Estádio Municipal de Albufeira,14
2016-02-21,"Houston, TX, USA",CONCACAF Women's Olympic Qualifying 2016,L,USA,BBVA Compass Stadium,21
2016-02-19,"Houston, TX, USA",CONCACAF Women's Olympic Qualifying 2016,W,CRC,BBVA Compass Stadium,22
2016-02-16,"Houston, TX, USA",CONCACAF Women's Olympic Qualifying 2016,W,GUA,BBVA Compass Stadium,19
2016-02-14,"Houston, TX, USA",CONCACAF Women's Olympic Qualifying 2016,W,TRI,BBVA Compass Stadium,18
2016-02-11,"Houston, TX, USA",CONCACAF Women's Olympic Qualifying 2016,W,GUY,BBVA Compass Stadium,19
2015-12-20,"Natal, BRA",Torneio Internacional de Natal,L,BRA,Arena das Dunas,27
2015-12-16,"Natal, BRA",Torneio Internactional de Natal,L,BRA,Arena das Dunas,28
2015-12-13,"Natal, BRA",Torneio Internacional de Natal,W,TRI,Arena das Dunas,28
2015-12-09,"Natal, BRA",Torneio Internacional de Natal,W,MEX,Arena das Dunas,27
2015-06-11,"Edmonton, AB, CAN",FIFA Women's World Cup,D,NZL,Commonwealth Stadium,17
2015-06-06,"Edmonton, AB, CAN",FIFA Women's World Cup,W,CHN,Commonwealth Stadium,20
2015-05-29,"Hamilton, ON, CAN",Women's International Friendly,W,ENG,Tim Hortons Field,14
2015-04-09,"Bondoufle, FRA",Women's International Friendly,L,FRA,Stade Robert-Bobin Evry,14
2015-03-11,"Larnaka, CYP",2015 Cyprus Women's Cup,L,ENG,GSZ Stadium,15
2015-03-09,"Nicosia, CYP",Cyprus Women's Cup 2015,W,ITA,GSP Stadium,17
2015-03-06,"Larnaka, CYP",Cyprus Women's Cup 2015,W,KOR,GSZ Stadium,14
2015-03-04,"Nicosia, CYP",Cyprus Women's Cup 2015,W,SCO,GSP Stadium,14
2015-01-15,"Shenzhen, CHN",BaoAn CFA International Women's Football Tournament Shenzhen 2015,W,CHN,Shenzhen Bao'an Sports Center,7
2015-01-13,"Shenzhen, CHN",BaoAn CFA International Women's Football Tournament Shenzhen 2015,W,MEX,Shenzhen Bao'an Sports Center,8
2015-01-11,"Shenzhen, CHN",BaoAn CFA International Women's Football Tournament Shenzhen 2015,W,KOR,Shenzhen Bao'an Sports Center,9
